Journal	ISSN	eISSN	Category	IF(2024)	IF Quartile(2024)	IF Rank(2024)	id
JOURNAL OF HEPATOLOGY	0168-8278	1600-0641	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	33	1	3/147	58
Nature Photonics	1749-4885	1749-4893	"OPTICS(SCIE);PHYSICS, APPLIED(SCIE)"	32.9	1	1/125	59
Nature Reviews Rheumatology	1759-4790	1759-4804	RHEUMATOLOGY(SCIE)	32.7	1	1/58	60
Annual Review of Astronomy and Astrophysics	0066-4146	1545-4282	ASTRONOMY & ASTROPHYSICS(SCIE)	32.5	1	1/84	61
NATURE METHODS	1548-7091	1548-7105	BIOCHEMICAL RESEARCH METHODS(SCIE)	32.1	1	1/86	62
eLight	2097-1710	2662-8643	OPTICS(SCIE)	32.1	1	2/125	63
Interdisciplinary Materials	2767-4401	2767-441X	"CHEMISTRY, PHYSICAL(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI);PHYSICS, APPLIED(ESCI)"	31.6	1	9/460	64
Annual Review of Organizational Psychology and Organizational Behavior	2327-0608	2327-0616	"MANAGEMENT(SSCI);PSYCHOLOGY, APPLIED(SSCI)"	31.1	1	1/420	65
LANCET INFECTIOUS DISEASES	1473-3099	1474-4457	INFECTIOUS DISEASES(SCIE)	31	1	1/137	66
Cell Metabolism	1550-4131	1932-7420	CELL BIOLOGY(SCIE);ENDOCRINOLOGY & METABOLISM(SCIE)	30.9	1	3/191	67
Energy & Environmental Science	1754-5692	1754-5706	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);ENERGY & FUELS(SCIE);ENGINEERING, CHEMICAL(SCIE);ENVIRONMENTAL SCIENCES(SCIE)"	30.8	1	2/374	68
Annual Review of Condensed Matter Physics	1947-5454	1947-5462	"PHYSICS, CONDENSED MATTER(SCIE)"	30.7	1	2/79	69
Annual Review of Fluid Mechanics	0066-4189	1545-4479	"MECHANICS(SCIE);PHYSICS, FLUIDS & PLASMAS(SCIE)"	30.2	1	1/171	70
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS	0370-1573	1873-6270	"PHYSICS, MULTIDISCIPLINARY(SCIE)"	29.5	1	3/114	71
Annual Review of Psychology	0066-4308	1545-2085	"PSYCHOLOGY(SCIE);PSYCHOLOGY, MULTIDISCIPLINARY(SSCI)"	29.4	1	1/221	72
NATURE GENETICS	1061-4036	1546-1718	GENETICS & HEREDITY(SCIE)	29	1	2/191	73
Physiological Reviews	0031-9333	1522-1210	PHYSIOLOGY(SCIE)	28.7	1	1/87	74
ACM COMPUTING SURVEYS	0360-0300	1557-7341	"COMPUTER SCIENCE, THEORY & METHODS(SCIE)"	28	1	1/147	75
NATURE IMMUNOLOGY	1529-2908	1529-2916	IMMUNOLOGY(SCIE)	27.6	1	3/183	76
Living Reviews in Solar Physics	2367-3648	1614-4961	ASTRONOMY & ASTROPHYSICS(SCIE)	27.6	1	2/84	77
Science Robotics	2470-9476	2470-9476	ROBOTICS(SCIE)	27.5	1	1/48	78
Nature Climate Change	1758-678X	1758-6798	ENVIRONMENTAL SCIENCES(SCIE);ENVIRONMENTAL STUDIES(SSCI);METEOROLOGY & ATMOSPHERIC SCIENCES(SCIE)	27.1	1	1/191	79
Nature Sustainability	2398-9629	2398-9629	ENVIRONMENTAL SCIENCES(SCIE);ENVIRONMENTAL STUDIES(SSCI);GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY(SSCI)	27.1	1	1/191	80
INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT	0268-4012	1873-4707	INFORMATION SCIENCE & LIBRARY SCIENCE(SSCI)	27	1	1/166	81
Wiley Interdisciplinary Reviews-Computational Molecular Science	1759-0876	1759-0884	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);MATHEMATICAL & COMPUTATIONAL BIOLOGY(SCIE)"	27	1	1/67	82
ADVANCED MATERIALS	0935-9648	1521-4095	"CHEMISTRY, MULTIDISCIPLINARY(SCIE);CHEMISTRY, PHYSICAL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)"	26.8	1	10/460	83
NEW ASTRONOMY REVIEWS	1387-6473	1872-9630	ASTRONOMY & ASTROPHYSICS(SCIE)	26.8	1	3/84	84
MATERIALS SCIENCE & ENGINEERING R-REPORTS	0927-796X	1879-212X	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE)"	26.8	1	10/460	85
NATURE REVIEWS NEUROSCIENCE	1471-003X	1471-0048	NEUROSCIENCES(SCIE)	26.7	1	1/314	86
Nature Biomedical Engineering	2157-846X	2157-846X	"ENGINEERING, BIOMEDICAL(SCIE)"	26.6	1	2/124	87
ASTRONOMY AND ASTROPHYSICS REVIEW	0935-4956	1432-0754	ASTRONOMY & ASTROPHYSICS(SCIE)	26.5	1	4/84	88
Annual Review of Plant Biology	1543-5008	1545-2123	PLANT SCIENCES(SCIE)	26.5	1	1/273	89
Immunity	1074-7613	1097-4180	IMMUNOLOGY(SCIE)	26.3	1	4/183	90
PROGRESS IN POLYMER SCIENCE	0079-6700	1873-1619	POLYMER SCIENCE(SCIE)	26.1	1	1/94	91
Advanced Energy Materials	1614-6832	1614-6840	"CHEMISTRY, PHYSICAL(SCIE);ENERGY & FUELS(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE);PHYSICS, APPLIED(SCIE);PHYSICS, CONDENSED MATTER(SCIE)"	26	1	5/182	92
PROCEEDINGS OF THE IEEE	0018-9219	1558-2256	"ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE)"	25.9	1	2/366	93
CELL RESEARCH	1001-0602	1748-7838	CELL BIOLOGY(SCIE)	25.9	1	7/204	94
GUT	0017-5749	1468-3288	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	25.8	1	4/147	95
Innovation	2666-6758	2666-6758	MULTIDISCIPLINARY SCIENCES(ESCI)	25.7	1	4/135	96
Foundations and Trends in Machine Learning	1935-8237	1935-8245	"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(ESCI)"	25.4	1	1/204	97
EUROPEAN UROLOGY	0302-2838	1873-7560	UROLOGY & NEPHROLOGY(SCIE)	25.2	1	3/133	98
Lancet Public Health	2468-2667	2468-2667	"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH(SCIE, SSCI)"	25.2	1	3/419	99
Gastroenterology	0016-5085	1528-0012	GASTROENTEROLOGY & HEPATOLOGY(SCIE)	25.1	1	5/147	100
FUNGAL DIVERSITY	1560-2745	1878-9129	MYCOLOGY(SCIE)	24.8	1	1/32	101
Molecular Plant	1674-2052	1752-9867	BIOCHEMISTRY & MOLECULAR BIOLOGY(SCIE);PLANT SCIENCES(SCIE)	24.1	1	2/273	102
EnergyChem	2589-7780	2589-7780	"CHEMISTRY, MULTIDISCIPLINARY(ESCI);ENERGY & FUELS(ESCI);ENGINEERING, CHEMICAL(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)"	23.8	1	3/175	103
COORDINATION CHEMISTRY REVIEWS	0010-8545	1873-3840	"CHEMISTRY, INORGANIC & NUCLEAR(SCIE)"	23.5	1	1/42	104
Light-Science & Applications	2095-5545	2047-7538	OPTICS(SCIE)	23.4	1	4/125	105
JAMA Internal Medicine	2168-6106	2168-6114	"MEDICINE, GENERAL & INTERNAL(SCIE)"	23.3	1	7/332	106
BLOOD	0006-4971	1528-0020	HEMATOLOGY(SCIE)	23.1	1	2/98	107
Military Medical Research	2095-7467	2054-9369	"MEDICINE, GENERAL & INTERNAL(SCIE)"	22.9	1	8/332	108
Exploration	2766-8509	2766-2098	"MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI);MULTIDISCIPLINARY SCIENCES(ESCI);NANOSCIENCE & NANOTECHNOLOGY(ESCI)"	22.5	1	5/135	109
Opto-Electronic Advances	2096-4579	2097-3993	OPTICS(SCIE)	22.4	1	5/125	110
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	0735-1097	1558-3597	CARDIAC & CARDIOVASCULAR SYSTEMS(SCIE)	22.3	1	4/230	111
Annual Review of Medicine	0066-4219	1545-326X	"MEDICINE, RESEARCH & EXPERIMENTAL(SCIE)"	22.1	1	2/195	112
Materials Today	1369-7021	1873-4103	"MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)"	22	1	18/460	113
ENDOCRINE REVIEWS	0163-769X	1945-7189	ENDOCRINOLOGY & METABOLISM(SCIE)	22	1	4/191	114
Advanced Composites and Hybrid Materials	2522-0128	2522-0136	"MATERIALS SCIENCE, COMPOSITES(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)"	21.8	1	1/34	115
DRUG RESISTANCE UPDATES	1368-7646	1532-2084	PHARMACOLOGY & PHARMACY(SCIE)	21.7	1	2/352	116
